,Company,Title,Description,Location,Salary
1212,UST Global India,Test Analyst,"
            Test automation frameworks, dynamic data collection methodologies, coding standards, components and object repository methods, etc.)....",Sydney NSW,
1213,Freedom Insurance,Market Analyst - Immediate Start,"
            Effectively analyse sales and marketing data. Ability to interpret large amounts of data and to multi-task. An exciting opportunity has become available for a...",Sydney NSW,"<span class=""no-wrap"">
                $55,000 a year</span>"
1214,HelloFresh,Senior Business Intelligence Analyst,"
            Perform Data Analysis/Predictive modelling which will offer critical value-add information. Highly analytical and with proven in handling of large data...",Sydney NSW,
1215,Pepper,Senior Treasury Analyst,"
            Update data for the key Mortgage & Assets Finance business driver stats. As Senior Treasury Analyst you will be responsible for performing analytical work for...",North Sydney NSW,
1216,Finite,Agile Business Analyst,"
            Agile Business Analyst. Map the data flows through source systems, identify any data issues including inconsistent definitions, timing problems, etc....",Sydney NSW,"<span class=""no-wrap"">
                $70 - $90 an hour</span>"
1217,Correlate Resources,SQL Data Management Analyst x2,"
            Leveraging your strong SQL, SAS or R data management skills you will extract, manipulate and merge large volumes data from a variety of complex data sources....",Sydney NSW,"<span class=""no-wrap"">
                $65,000 - $75,000 a year</span>"
1218,Opus Recruitment Solutions,Big Data Engineer,"
            Previous relevant experience in Data Engineer / Analyst positions. Requirements - Big Data Engineer. Set up a big data platform....",Sydney NSW,
1219,ignite,Reporting Analyst -Parramatta-12 month Contract,"
                            Experience with Data / Process Analysis. I am looking for a Reporting Analayst to join a Large Telco Organisation in Parramatta on a 12 month + daily rate...",Sydney NSW,"<span class=""no-wrap"">
                $50 - $55 an hour</span>"
1220,Tenable,Director of Sales Operations APAC,"
                            Monitors the assigned sales organization’s compliance with required standards for maintaining CRM data....",Sydney NSW,
1221,Fulsearch,Senior Research Analyst - Industrials (Mid/Small Caps),"
                            Senior Research Analyst - Industrials (Mid/ Small Caps). Proven ability to critically review and analyse industry data....",Sydney NSW,"<span class=""no-wrap"">
                $200,000 - $250,000 a year</span>"
1222,Fulsearch,Senior Research Analyst - Industrials (Mid/Small Caps),"
                            Senior Research Analyst - Industrials (Mid/ Small Caps). Proven ability to critically review and analyse industry data....",Sydney NSW,"<span class=""no-wrap"">
                $200,000 - $250,000 a year</span>"
1223,Franklin Templeton Investments,SimCorp Dimension Architect,"
Data and Processes. Oversees technical design specifications for SimCorp Dimension configuration and data integration requirements....",Sydney NSW,
1224,EA People,Integration Architect,"
            Consult with multiple external vendors, technology delivery teams, enterprise architects, security, infrastructure architect, operations, business analysts and...",Sydney NSW,
1225,Arup,Vacation Student - CAD/Digital,"
            Candidates with a background as a data analyst, visualisation programmer, video game designer, or in engineering gaming or animation (3d modelling) will be...",Brisbane QLD,
1226,Unisys,Senior Business Analyst,"
            You will have at least 5 years’ experience as a Business Analyst, preferably also with experience in data analysis....",Canberra ACT,
1227,Carnival,IT System Analyst,"
            Reporting to the Data & Integration Development Manager, you'll be responsible for the delivery of new solutions and support of the existing IT applications and...",Sydney NSW,
1228,Macquarie Group Limited,"Analyst / Senior Analyst, Operational Risk and Audit","
            Macquarie is seeking to appoint an Analyst / Senior Analyst to join the Sydney Operational Risk team. Reporting to the Regional Operational Risk Director and...",Sydney NSW,
1229,SapientRazorfish,Solutions Architect,"
            Works with Systems Developers, Analysts to address application performance issues. You will work on a broad range of projects overseeing the development,...",Brisbane QLD,
1230,BigDatr,QA Test Analyst/Developer,"
            You will have previous experience as a Test Analyst, testing modern languages and technologies and will be tertiary qualified in a relevant field....",Richmond VIC,
1231,Neto,Technical Writer/Learning Pathways Coordinator,"
            Researcher and data analyst:. Neto is the only Australian retail and wholesale management platform that provides a complete solution for eCommerce, POS,...",South Brisbane QLD,
1232,Talent International,Business Analyst x 4,"
            Experience and general familiarity with Health industry clinical terminology, data and systems; Our client based in the Northern Territory is looking for...",South Australia,
1233,ignite,Reporting Analyst -Parramatta-12 month Contract,"
                            Experience with Data / Process Analysis. I am looking for a Reporting Analayst to join a Large Telco Organisation in Parramatta on a 12 month + daily rate...",Sydney NSW,"<span class=""no-wrap"">
                $50 - $55 an hour</span>"
1234,Tenable,Director of Sales Operations APAC,"
                            Monitors the assigned sales organization’s compliance with required standards for maintaining CRM data....",Sydney NSW,
1235,Robert Walters,AML & Onboarding Analyst,"
                            Maintaining customer data and documents into customer database. Conducting research on new and existing clients to obtain KYC data from public sources....",Sydney NSW,
1236,Ignite,Business Analyst,"
                            Junior-Mid level Business Analyst. If you are a junior to mid-level Business Analyst, please APPLY NOW. This role would be ideal for Business Analysts with 2-5...",Sydney NSW,"<span class=""no-wrap"">
                $600 - $700 a day</span>"
1237,FourQuarters,Senior Data Analyst,"
            Senior Product Portfolio Analyst required to provide data analysis and insights around portfolio performance and product enhancements....",Melbourne VIC,"<span class=""no-wrap"">
                $125,000 a year</span>"
1238,Deloitte,Mergers & Acquisitions Analyst,"
            Overall management of due diligence processes including responsibility for the data room and Q&A process. Do you have a strong financial skillset and sound...",Adelaide SA,
1239,Groupon,Strategy & Planning Analyst - Travel,"
            Comfortable interpreting data, generating insights and making fact-based decisions. Data and detail oriented and strong organisational skills....",Sydney NSW,
1240,Dimensional Fund Advisors,"Analyst, Portfolio Management","
            The Analyst is responsible for supporting the day-to-day needs of the Portfolio Management team. We have an opportunity for an individual to join the Sydney...",Sydney NSW,
1241,Michael Page,Data and Integration Analyst,"
Data Analysis & Development Industry:. Degree in Information systems, Data Analytics, Business Management or equivalent level of professional experience and;...",Sydney NSW,
1242,ANZ Banking Group,Information Security Opportunities,"
            IS Strategy Analyst. There are three roles across Digital, Data and Payments. Our Information & Cyber Security team is growing....",Melbourne VIC,
1243,Oracle,"SaaS Business Applications Business Development Managers, Sy...","
            Engage with prospects to position Oracle solutions through strategic value-based selling, business case definition, ROI analysis, references and analyst data....",North Ryde NSW,
1244,MongoDB,"Node.js/Javascript Software Engineer, MongoDB Charts (APAC)","
            Built on a web stack using modern Javascript (ES6+), Node.js and React, we utilize the latest web technologies to deliver an easy-to use, flexible BI tool for...",Sydney NSW,
1245,Correlate Resources,Customer Data Scientist x2 (JANUARY START CONTRACT),"
            A genuine passion to build a career in Data Analytics / Data Science, implementing analytical techniques and concepts such as;...",Sydney NSW,"<span class=""no-wrap"">
                $450 - $600 a day</span>"
1246,Correlate Resources,Customer Data Scientist x2 (Immediate Contract or Permanant),"
            A genuine passion to build a career in Data Analytics / Data Science, implementing analytical techniques and concepts such as;...",Sydney NSW,"<span class=""no-wrap"">
                $500 - $650 a day</span>"
1247,ignite,Reporting Analyst -Parramatta-12 month Contract,"
                            Experience with Data / Process Analysis. I am looking for a Reporting Analayst to join a Large Telco Organisation in Parramatta on a 12 month + daily rate...",Sydney NSW,"<span class=""no-wrap"">
                $50 - $55 an hour</span>"
1248,Tenable,Director of Sales Operations APAC,"
                            Monitors the assigned sales organization’s compliance with required standards for maintaining CRM data....",Sydney NSW,
1249,Robert Walters,AML & Onboarding Analyst,"
                            Maintaining customer data and documents into customer database. Conducting research on new and existing clients to obtain KYC data from public sources....",Sydney NSW,
1250,Robert Walters,AML & Onboarding Analyst,"
                            Maintaining customer data and documents into customer database. Conducting research on new and existing clients to obtain KYC data from public sources....",Sydney NSW,
1251,Bridge,Senior Consultant,"
            Depending on seniority of the successful candidates, typical project roles include data architect, senior business analyst, technical analyst, system analyst...",Australia,
1252,Healthdirect Australia,Senior-QA-Engineer,"
            Demonstrable experience in data and API based automation testing. This role is required to work with product owners, business analysts and developers to...",Sydney Central Business District NSW,
1253,Correlate Resources,SQL Customer Data Analysts x2 (JAN START CONTRACTS),"
            Leveraging strong SQL Server data management skills to extract, manipulate and merge large volumes of customer data from within a complex SQL data environment....",Sydney NSW,
1254,Apptio,Software Implementation Consultant,"
            Ability to demonstrate experience with data analysis and data manipulation. 4+ years of experience in as business analyst, consulting or technical analyst role....",Sydney NSW,
1255,Macquarie Group Limited,"Actuarial Analyst, Wealth, Banking and Financial Services -...","
            Assisting in the development and execution of data reporting initiatives within the Commercial Management team. About the role....",Sydney NSW,
1256,Recon Solutions,BI Analyst - Data Warehouse,"
            We currently have a number of opportunities for strong Business Analysts to join a large Data Warehouse Program....",Brisbane QLD,
1257,Sodexo,Commercial Analyst,"
            The Commercial Analyst will be responsible for building financial models and data interpretation from various ERP systems....",Balcatta WA,
1258,Australian Securities Exchange (ASX),"Risk Analyst, Exposure Risk Management","
            Undertake ERM tasks in accordance with agreed policies, standards and procedures including (but not limited to):  Margin analysis  Risk quantification...",Sydney NSW,
1259,Woolworths Supermarkets,Senior Business Analyst,"
            Senior Business Analyst. Development of storylines and insights from the data and analytics. Provide coaching and support to the Business Analyst and Project...",New South Wales,
1260,Finite IT,Data Analyst (SAP HANA/Teradata/DB2),"
            Our large government client is looking for multiple Data Analyst to join the team in the new year! Experience in analysing and specifying Operational &...",Adelaide SA,
1261,ignite,Reporting Analyst -Parramatta-12 month Contract,"
                            Experience with Data / Process Analysis. I am looking for a Reporting Analayst to join a Large Telco Organisation in Parramatta on a 12 month + daily rate...",Sydney NSW,"<span class=""no-wrap"">
                $50 - $55 an hour</span>"
1262,Tenable,Director of Sales Operations APAC,"
                            Monitors the assigned sales organization’s compliance with required standards for maintaining CRM data....",Sydney NSW,
1263,Robert Walters,Senior Test Analyst - BI / DW,"
                            A leading NSW government organisation is looking for a Senior Test Analyst to work with complex data warehouses whilst managing the testing team....",Sydney NSW,"<span class=""no-wrap"">
                $500 - $600 a day</span>"
1264,Robert Walters,Senior Test Analyst - BI / DW,"
                            A leading NSW government organisation is looking for a Senior Test Analyst to work with complex data warehouses whilst managing the testing team....",Sydney NSW,"<span class=""no-wrap"">
                $500 - $600 a day</span>"
1265,Supermarkets,Senior Productivity Improvement Analyst,"
            Senior Productivity Improvement Analyst | Bella Vista. Conduct work measurement studies, including data collection and analysis....",New South Wales,
1266,Big W,Senior Pricing Analyst | BIG W,"
            Develop and maintain relevant data insights that will support major category pricing strategy. 2 - 5 years experience in a commercial buying, planning or...",New South Wales,
1267,Lendlease,Project Engineer,"
            You will also have a demonstrable track record of creating accurate and valuable data using SQL, Tableau and Microsoft excel ....",Port Melbourne VIC,
1268,KAPiTAL Consulting,Data Analyst | Power BI | Tableau | SQL | T-SQL,"
            Minimum 2 years experience in a Data Analyst/BI Analyst Role. An opportunity is available for an ambitious Data Analyst to work for a growing company who...",Sydney NSW,
1269,Blackmores,Global HR Systems Analyst,"
            Lead tasks which impact data maintenance, including mass updates of data and organisational restructures. Global HR Systems Analyst - (CEN00001O)....",Warriewood NSW,
1270,Appetency Recruitment Services,Agile Test Analyst x 4 Positions,"
            Identifying, analysing and creating test data. We're seeking exceptional Agile Test Analysts – Manual and Automation Testing to our client’s development centre...",Melbourne VIC,"<span class=""no-wrap"">
                $80,000 - $100,000 a year</span>"
1271,San Remo Macaroni Company Pty Ltd,IT Systems Analyst,"
            Technical Analysis - data mapping, process mapping, producing functional and technical designs. Exporting to over 35 countries, San Remo is an Australian market...",Windsor Gardens SA,
1272,Evolution Recruitment Solutions,Machine Learning Enthusiasts,"
            Work along side Software Engineers, Data Analysts, Data Scientists and Product Specialists from all different backgrounds. Passionate about Data Science....",Sydney NSW,
1273,Government of South Australia,Senior Regulatory Analyst,"
            We are seeking an experienced Analyst with finance and economic expertise to join our team. Working within the Advisory and Research group, you will be...",Adelaide SA,"<span class=""no-wrap"">
                $70,000 - $89,000 a year</span>"
1274,Correlate Resources,Data Scientist (Loyalty Marketing),"
            A genuine passion to build a career in Data Analytics / Data Science, implementing analytical techniques and concepts such as;...",Sydney NSW,"<span class=""no-wrap"">
                $110,000 - $130,000 a year</span>"
1275,ignite,Reporting Analyst -Parramatta-12 month Contract,"
                            Experience with Data / Process Analysis. I am looking for a Reporting Analayst to join a Large Telco Organisation in Parramatta on a 12 month + daily rate...",Sydney NSW,"<span class=""no-wrap"">
                $50 - $55 an hour</span>"
1276,Tenable,Director of Sales Operations APAC,"
                            Monitors the assigned sales organization’s compliance with required standards for maintaining CRM data....",Sydney NSW,
1277,Robert Walters,Cyber Security Analyst - SOC,"
                            Requirements for the Cyber Security Analyst role:. Responsibilities for the role of Cyber Security Analyst role:....",Sydney NSW,"<span class=""no-wrap"">
                $80,000 - $95,000 a year</span>"
1278,Robert Walters,Cyber Security Analyst - SOC,"
                            Requirements for the Cyber Security Analyst role:. Responsibilities for the role of Cyber Security Analyst role:....",Sydney NSW,"<span class=""no-wrap"">
                $80,000 - $95,000 a year</span>"
1279,AFTERPAY TOUCH GROUP,Risk Analytics Manager,"
            Mentor, manage and tutor junior analysts as required. Day-to-day analytics and as directed by head of data and analytics....",Melbourne VIC,
1280,Finite,Data Analyst (SAP HANA/Teradata/DB2),"
            Our large government client is looking for multiple Data Analyst to join the team in the new year! Experience in analysing and specifying Operational &...",Adelaide SA,"<span class=""no-wrap"">
                $60 - $90 an hour</span>"
1281,Aptitude Recruitment,Senior Analyst,"
            Must have experience with scripting and data processing. Our client is a growing business with a focus on obtaining the best research data and insights for...",Surry Hills NSW,"<span class=""no-wrap"">
                $90,000 a year</span>"
1282,DFP Recruitment Services,Junior Business Analysts,"
            Proven experience with data monitoring and analysis, ideally within the Public Sector. Proven experience with collecting and analysing data and identifying...",Sydney NSW,
1283,Reece,Continuous Improvement Coordinator (Analyst),"
            Performing data analysis, modelling, and external research. Continuous Improvement Coordinator (Analyst)....",Burwood VIC,
1284,IBM,Cognitive Solution Architect - Solution Architect (Syd / Mel...,"
            7 years’ experience as a Functional Architect, Business Analyst or Consultant in a mid to large sized organization Exposure to key areas of enterprise...",St Leonards NSW,
1285,Chandler Macleod,Business Analyst,"
            Knowledge of data management processes. The Business Analyst required for this position, must have, at a minimum:....",Adelaide SA,"<span class=""no-wrap"">
                $60 - $67 an hour</span>"
1286,Lizard Children's Centre,Behaviour Therapist –Hills District and Western Suburbs,"
            You will receive full in-house training with our team of Board Certified Behaviour Analysts and Clinicians before being placed on to our programs....",Sydney NSW,
1287,Intuit,Senior Business Data Analyst,"
            As a Senior Data Analyst, you will dive deep into our data to uncover actionable insights and make recommendations that will influence the company’s strategic...",Sydney NSW,
1288,Finite,Business Analyst,"
            Extensive experience in Business Analyst capacity Data or on Datawarehouse projects - ideally SQL Server. Lead and investigate business data requirements, and...",Brisbane QLD,"<span class=""no-wrap"">
                $90 - $95 an hour</span>"
1289,ignite,Reporting Analyst -Parramatta-12 month Contract,"
                            Experience with Data / Process Analysis. I am looking for a Reporting Analayst to join a Large Telco Organisation in Parramatta on a 12 month + daily rate...",Sydney NSW,"<span class=""no-wrap"">
                $50 - $55 an hour</span>"
1290,Tenable,Director of Sales Operations APAC,"
                            Monitors the assigned sales organization’s compliance with required standards for maintaining CRM data....",Sydney NSW,
1291,Robert Walters,"Application Analyst, Professional Services Firm","
                            Intermediate XML Understanding for traversing/modifying of various schema elements within the data, XPath....",Sydney NSW,"<span class=""no-wrap"">
                $125,000 - $135,000 a year</span>"
1292,Robert Walters,"Application Analyst, Professional Services Firm","
                            Intermediate XML Understanding for traversing/modifying of various schema elements within the data, XPath....",Sydney NSW,"<span class=""no-wrap"">
                $125,000 - $135,000 a year</span>"
1293,Black Cat Data,Data Scientist Intern,"
                            Passionate about data science, big data and AI. Data Science technology. Managing the backend systems and importing new data....",Sydney NSW,
1294,GreySpark,Junior Project Manager / Business Analyst,"
                            The successful junior project manager / business analyst will be a competent and highly regarded individual who has experience analysing requirements in a range...",Sydney NSW,
1295,Accountancy Options,Data Reporting - Senior Analyst / Regulatory Analyst x 2,"
            Knowledge of data warehouses. Providing data solutions that ensure compliance to internal and external data management policies that minimise risk in a robust...",Melbourne VIC,"<span class=""no-wrap"">
                $115,000 a year</span>"
1296,Continuum Recruitment,Business Intelligence Analyst,"
            Exposure to Tableau or other data visualisation products. 1-3 years’ experience with Business Intelligence, Analytics, Data Warehousing....",Perth WA,"<span class=""no-wrap"">
                $80,000 a year</span>"
1297,SA Health,Senior P2P Analyst,"
            633298 - Senior Procure to Pay Analyst - Job Pack.pdf. The Senior Procure to Pay Analyst delivers advanced data analysis, business requirement planning and Key...",Adelaide City Centre SA,
1298,TEKsystems,Operational Analyst,"
            Exposure to workflow tools and data entry. Global Education sector firm....",Melbourne City Centre VIC,
1299,Resource Solutions Group,PMO - Governance and Reporting Analyst,"
            Governance – collect data consistently and resolve data integrity issues. Identify data sources and develop processes to extract the necessary data to perform...",Melbourne VIC,"<span class=""no-wrap"">
                $500 a week</span>"
1300,Xpand Group,Data/Systems Analyst,"
Data / Systems Analyst experience. Implement prioritised enhancements/ functionality within agreed timeframes – includes business analysis, system design, data...",Sydney NSW,
1301,Compass Group Australia,Analyst - Commercial Estimator,"
            Extract & analyse data from existing operations to be utilised and benchmarks for bids. We are currently looking for a suitably skilled and experienced...",Perth WA,
1302,Fulsearch,Senior Research Analyst - Industrials (Mid/Small Caps),"
            Senior Research Analyst - Industrials (Mid/ Small Caps). Proven ability to critically review and analyse industry data....",Sydney NSW,"<span class=""no-wrap"">
                $200,000 - $250,000 a year</span>"
1303,Urbis,Finance - Senior Business Analyst,"
            Senior Business Analyst – Finance (10 month contract). As the Senior Business Analyst, your responsibilities will include:....",Melbourne VIC,
1304,InterSystems Corporation,Technical Specialist,"
            Experience with data analysis and database methodologies. Liaise with client or business analyst in regard to ongoing enhancement requests....",Sydney NSW,
1305,ignite,Reporting Analyst -Parramatta-12 month Contract,"
                            Experience with Data / Process Analysis. I am looking for a Reporting Analayst to join a Large Telco Organisation in Parramatta on a 12 month + daily rate...",Sydney NSW,"<span class=""no-wrap"">
                $50 - $55 an hour</span>"
1306,Tenable,Director of Sales Operations APAC,"
                            Monitors the assigned sales organization’s compliance with required standards for maintaining CRM data....",Sydney NSW,
1307,Tenable,Director of Sales Operations APAC,"
                            Monitors the assigned sales organization’s compliance with required standards for maintaining CRM data....",Sydney NSW,
1308,VMware,New Grad - Communications Executive,"
            A pioneer in the use of virtualization and policy-driven automation technologies, VMware simplifies IT complexity across the entire data center to the virtual...",Sydney NSW,
1309,Australia Post,Senior Digital Analyst,"
            Job no: 53308067 Work type: Permanent full time Location: VIC - Metro Categories: Information & Communication Technology At Australia Post, digital...",Victoria,
1310,Talent International,Business Analyst,"
            Develop a data framework to logically classify and document knowledge. The Business Analyst will be responsible for developing use cases, scoping information...",Canberra ACT,"<span class=""no-wrap"">
                $90 - $110 an hour</span>"
1311,The University of Melbourne via Breen Recruitment,"Reporting Analyst, Advancement Office","
            Understanding of data warehousing and data lake concepts; Experience in user acceptance testing and data auditing....",Melbourne VIC,
1312,Anton Murray Consulting,Equity Research Associate – Stockbroker,"
            Monitoring and reporting on news and data specific to companies/industries under coverage. Reporting to the Head of Research and the Senior Analysts, the role...",Melbourne VIC,"<span class=""no-wrap"">
                $50,000 - $100,000 a year</span>"
1313,Hays,Temporary Administration/Data Analyst,"
            You will be assisting the operations team leader with data processing and data analysis. Strong data entry experience accompanied with accurate typing (testing...",Sydney Western Suburbs NSW,
1314,Cubic Corporation,Senior Software Engineer,"
            Work with systems analysts in problem investigation, analysis, solution determination and associated task estimation....",Perth WA,
1315,HCM Australia,Senior Data Analyst,"
            5+ years Data Analytics experience with strong technical capability across one or more of SAS, VBA, R & Python....",Sydney NSW,
1316,Talent Insights Group,Senior Analyst,"
            Are you a technical analyst with top communication skills and a desire to consult and advise? 3-6+ years of commercial data and analysis experience in marketing...",Sydney NSW,
1317,IBM,Supply Chain Logistics Analyst (12 month Fixed-term contract...,"
            Knowledge of supply chain management processes and telco business is an advantage Ability to draft high quality business documentation and review/edit existing...",Melbourne VIC,
1318,ignite,Reporting Analyst -Parramatta-12 month Contract,"
                            Experience with Data / Process Analysis. I am looking for a Reporting Analayst to join a Large Telco Organisation in Parramatta on a 12 month + daily rate...",Sydney NSW,"<span class=""no-wrap"">
                $50 - $55 an hour</span>"
1319,San Remo Macaroni Company Pty Ltd,IT Systems Analyst,"
                            Technical Analysis - data mapping, process mapping, producing functional and technical designs. Exporting to over 35 countries, San Remo is an Australian market...",Windsor Gardens SA,
1320,Michael Page,Business Analyst - Global Brand,"
                            Analyse tender opportunities and convert raw data into logical business requirements. Maintenance of Pricing database and provide detailed analysis of the rates...",Parramatta NSW,"<span class=""no-wrap"">
                $80,000 - $85,000 a year</span>"
1321,Michael Page,Business Analyst - Global Brand,"
                            Analyse tender opportunities and convert raw data into logical business requirements. Maintenance of Pricing database and provide detailed analysis of the rates...",Parramatta NSW,"<span class=""no-wrap"">
                $80,000 - $85,000 a year</span>"
1322,Opus Recruitment Solutions,Senior Data Scientist,"
            You will be helping businesses to derive value from their own data by designing and implementing innovative analytics algorithms that can include Natural...",Sydney NSW,"<span class=""no-wrap"">
                $100,000 - $200,000 a year</span>"
1323,A V Immigration And Careers Consultancy Private Li...,Work & settle ICT business analyst in Australia,"
            Using data and process modelling techniques to create clear system specifications for the design and development of system software....",Australia,
1324,"Red Hat, Inc.",Financial Analyst,"
            Provide planning support for managers (historical performance data for segments and representatives). The Red Hat Finance team is looking for an enthusiastic...",North Sydney NSW,
1325,Powerdata Group Consulting,Actuarian with Actuarial qualifications and Data Analyst ski...,"
            We are looking for Actuaries and Data Analysts with Actuarial qualifications to assist in delivering the Insights and Outcomes strategy....",Sydney NSW,
1326,Woolworths Limited,Senior Digital Reporting Analyst,"
            You’ll have a passion for data and 3+ years experience working on digital data analysis and insights. The Loyalty & Customer Data team with WooliesX is seeking...",New South Wales,
1327,VLC,Principal / Senior Strategic Transport Modeller (Sydney),"
            Ability to communicate models, modelling results and data effectively with clients and members of multidisciplinary teams....",Sydney NSW,
1328,Allscripts Solutions,Senior Implementation Consultant (Business Analyst),"
            Using data and process modeling techniques to create clear system specifications for the design and development of system software for clients;...",Adelaide SA,
1329,Michael Page,Analyst Programmer - Top tier client,"
Data Analysis & Development Industry:. Our client is a leading brand within their field and are now actively looking for an Analyst Programmer to join their...",North Shore NSW,
1330,Manpower Services (Hong Kong) Limited,Customer Relationship Management Analyst,"
            Management third part organization analyst, reporting event. At least 3 years experience in data analysis and/or CRM....",Australia,
1331,Michael Page,Analyst Programmer,"
Data Analysis & Development Industry:. 5+ years in software development or business analyst roles. The position of Analyst Programmer is accountable to the Head...",Sydney Western Suburbs NSW,
1332,ignite,Reporting Analyst -Parramatta-12 month Contract,"
                            Experience with Data / Process Analysis. I am looking for a Reporting Analayst to join a Large Telco Organisation in Parramatta on a 12 month + daily rate...",Sydney NSW,"<span class=""no-wrap"">
                $50 - $55 an hour</span>"
1333,San Remo Macaroni Company Pty Ltd,IT Systems Analyst,"
                            Technical Analysis - data mapping, process mapping, producing functional and technical designs. Exporting to over 35 countries, San Remo is an Australian market...",Windsor Gardens SA,
1334,Robert Half Australia,Senior Commercial Analyst - Sales and Marketing,"
                            At least 12 months in a similar Sales Analyst / Business Analyst / Commercial Analyst position. This exciting Senior Commercial Sales Analyst position manages...",Sydney Western Suburbs NSW,
1335,San Remo Macaroni Company Pty Ltd,IT Systems Analyst,"
                            Technical Analysis - data mapping, process mapping, producing functional and technical designs. Exporting to over 35 countries, San Remo is an Australian market...",Windsor Gardens SA,
1336,Robert Half Australia,Senior Commercial Analyst - Sales and Marketing,"
                            At least 12 months in a similar Sales Analyst / Business Analyst / Commercial Analyst position. This exciting Senior Commercial Sales Analyst position manages...",Sydney Western Suburbs NSW,
1337,ignite,Reporting Analyst -Parramatta-12 month Contract,"
                            Experience with Data / Process Analysis. I am looking for a Reporting Analayst to join a Large Telco Organisation in Parramatta on a 12 month + daily rate...",Sydney NSW,"<span class=""no-wrap"">
                $50 - $55 an hour</span>"
1338,Hays,Data Analyst SAS SQL,"
            Experience with extracting manipulating and analyzing data. Experience working with financial data would be of benefit....",Canberra ACT,
1339,BlueScope Steel,Logistics Procurement Analyst,"
            We have an exciting opportunity for the 12 month contract position of the Logistics Procurement Analyst located within the Braeside Offices....",Braeside VIC,
1340,Peoplebank,Network Data Analyst,"
            Network Data Analyst. Our client, a leading organisation based in Perth CBD is currently seeking a highly competent Network Data Analyst for a 3-month contract...",Perth Central Business District WA,
1341,Deloitte,Cyber Risk Senior Analyst,"
            As a Cyber Architecture and Engineering Senior Analyst, you’ll help design and implement solutions to some of today’s toughest cyber challenges....",Sydney NSW,
1342,Hays,Database Administrator,"
            You will be reporting directly to the business analyst and will therefore be required to extract data and run relevant reports....",Sydney Central Business District NSW,"<span class=""no-wrap"">
                $57,000 - $65,000 a year</span>"
1343,Kingpin Entertainment,Junior Commercial Analyst - AMF Australia & NZ,"
            3 Month Contract – Junior Commercial Analyst. Reporting to the Senior Commercial Analyst, your main responsibility will be to provide support to all managers in...",Milsons Point NSW,
1344,AMF Bowling,Junior Commercial Analyst - AMF Australia & NZ,"
            3 Month Contract – Junior Commercial Analyst. Reporting to the Senior Commercial Analyst, your main responsibility will be to provide support to all managers in...",Milsons Point NSW,
1345,Huxley,SAS Analyst/Developer,"
            Experience working on Relational Databases with large data sets. Huxley is a specialist recruitment company within Banking & Financial Services....",Sydney NSW,
1346,Huxley IT,SAS Analyst/Developer,"
            Experience working on Relational Databases with large data sets. Huxley is a specialist recruitment company within Banking & Financial Services....",Sydney Central Business District NSW,
1347,Fenchurch Associates,Graduate Pricing Analyst,"
            Looking for undergrads and grads who can start anytime between now and October 2017. Our client, a leading personal lines insurer is looking for several...",Queensland,
1348,Ignite,Data Analyst,"
                            Ability to gather and interpret relevant data and information. Create and maintain test data required to exercise test cases....",Canberra ACT,"<span class=""no-wrap"">
                $80,000 - $90,000 a year</span>"
1349,Robert Half Australia,Business Analyst | PMO | Data Privacy & Compliance,"
                            Global leader is looking for a Business Analyst with project experience in Data Privacy & Compliance. Global leader based in Macquarie Park is currently looking...",Sydney NSW,
1350,ignite,Reporting Analyst -Parramatta-12 month Contract,"
                            Experience with Data / Process Analysis. I am looking for a Reporting Analayst to join a Large Telco Organisation in Parramatta on a 12 month + daily rate...",Sydney NSW,"<span class=""no-wrap"">
                $50 - $55 an hour</span>"
1351,Sharp & Carter,Reporting & Continuous Improvement Analyst,"
            Maintain employee data in Concur for Expense and Travel Request. Our client is a large family owned business within the fast food/retail industry....",Mount Waverley VIC,"<span class=""no-wrap"">
                $65,000 a year</span>"
1352,Aristocrat Technologies,Financial Analyst,"
            You will work with them to ensure the integrity, accuracy, completeness and timeliness of data submissions. Job Posting Title....",North Ryde NSW,
1353,Carlton & United Breweries,Senior Finance Analyst,"
            Senior Finance Analyst. Strong analytical and interpretation skills, ensuring data integrity across all reports....",Victoria,
1354,Audinate Pty Ltd,Vice President of Product Management,"
            5+ years of direct people management experience, preferably managing product managers, business analysts, project managers, etc....",Australia,
1355,Nine Entertainment Co,Test Analyst,"
            In addition we have a long-running strategic relationship with Microsoft, selling their suite of advertising products while leveraging their world-leading...",Sydney NSW,
1356,CBRE Asia Pacific,Senior Business Analyst,"
            Experience with CRM technologies, strong capability across stakeholder, business rules and data analysis, organisational modelling and business process re...",Sydney NSW,
1357,Hudson,Reporting/BI Analyst,"
            You'll work closely with the business and data scientists to produce meaningful analytical insights. As a Reporting/ BI Analyst you'll be responsible for...",Melbourne VIC,"<span class=""no-wrap"">
                $450 - $750 a day</span>"
1358,Hays,Business Analyst,"
            The ability to manage exceptionally complex data sets and analyse a variety of data. You will identify what data is available, and what data is needed to...",Melbourne City Centre VIC,"<span class=""no-wrap"">
                $50 - $65 an hour</span>"
1359,Correlate Resources,Customer/Marketing Insights Analyst (2x CONTRACT - January S...,"
            Leveraging strong SQL programming skills to extract, manage and merge large volumes customer data from a variety of complex data sources....",Sydney NSW,"<span class=""no-wrap"">
                $650 a week</span>"
1360,Unseen,Data Analyst and Administrative Assistant,"
            You will work with a data team and data manager. Previous experience as a data entry clerk or similar position will be considered an advantage....",Adelaide SA,
